location,Date,cpi-index
EU,31/01/1996,70.4
EU,29/02/1996,70.71
EU,31/03/1996,71.01
EU,30/04/1996,71.14
EU,31/05/1996,71.32
EU,30/06/1996,71.33
EU,31/07/1996,71.31
EU,31/08/1996,71.27
EU,30/09/1996,71.44
EU,31/10/1996,71.52
EU,30/11/1996,71.53
EU,31/12/1996,71.73
EU,31/01/1997,71.95
EU,28/02/1997,72.11
EU,31/03/1997,72.2
EU,30/04/1997,72.18
EU,31/05/1997,72.38
EU,30/06/1997,72.41
EU,31/07/1997,72.46
EU,31/08/1997,72.58
EU,30/09/1997,72.65
EU,31/10/1997,72.69
EU,30/11/1997,72.79
EU,31/12/1997,72.88
EU,31/01/1998,72.82
EU,28/02/1998,73
EU,31/03/1998,73.1
EU,30/04/1998,73.28
EU,31/05/1998,73.43
EU,30/06/1998,73.47
EU,31/07/1998,73.47
EU,31/08/1998,73.49
EU,30/09/1998,73.47
EU,31/10/1998,73.45
EU,30/11/1998,73.45
EU,31/12/1998,73.49
EU,31/01/1999,73.44
EU,28/02/1999,73.61
EU,31/03/1999,73.85
EU,30/04/1999,74.11
EU,31/05/1999,74.16
EU,30/06/1999,74.16
EU,31/07/1999,74.26
EU,31/08/1999,74.35
EU,30/09/1999,74.43
EU,31/10/1999,74.47
EU,30/11/1999,74.57
EU,31/12/1999,74.83
EU,31/01/2000,74.86
EU,29/02/2000,75.1
EU,31/03/2000,75.37
EU,30/04/2000,75.45
EU,31/05/2000,75.54
EU,30/06/2000,75.8
EU,31/07/2000,75.87
EU,31/08/2000,75.93
EU,30/09/2000,76.26
EU,31/10/2000,76.3
EU,30/11/2000,76.46
EU,31/12/2000,76.75
EU,31/01/2001,76.43
EU,28/02/2001,76.66
EU,31/03/2001,77.07
EU,30/04/2001,77.54
EU,31/05/2001,77.9
EU,30/06/2001,78.02
EU,31/07/2001,77.84
EU,31/08/2001,77.78
EU,30/09/2001,77.99
EU,31/10/2001,78.06
EU,30/11/2001,78.01
EU,31/12/2001,78.36
EU,31/01/2002,78.45
EU,28/02/2002,78.58
EU,31/03/2002,79.02
EU,30/04/2002,79.38
EU,31/05/2002,79.52
EU,30/06/2002,79.49
EU,31/07/2002,79.41
EU,31/08/2002,79.46
EU,30/09/2002,79.66
EU,31/10/2002,79.85
EU,30/11/2002,79.79
EU,31/12/2002,80.17
EU,31/01/2003,80.14
EU,28/02/2003,80.46
EU,31/03/2003,80.93
EU,30/04/2003,81.05
EU,31/05/2003,81
EU,30/06/2003,81.1
EU,31/07/2003,80.98
EU,31/08/2003,81.1
EU,30/09/2003,81.39
EU,31/10/2003,81.51
EU,30/11/2003,81.54
EU,31/12/2003,81.79
EU,31/01/2004,81.61
EU,29/02/2004,81.8
EU,31/03/2004,82.32
EU,30/04/2004,82.74
EU,31/05/2004,83.01
EU,30/06/2004,83.05
EU,31/07/2004,82.88
EU,31/08/2004,83.04
EU,30/09/2004,83.14
EU,31/10/2004,83.46
EU,30/11/2004,83.4
EU,31/12/2004,83.72
EU,31/01/2005,83.2
EU,28/02/2005,83.5
EU,31/03/2005,84.12
EU,30/04/2005,84.47
EU,31/05/2005,84.66
EU,30/06/2005,84.75
EU,31/07/2005,84.66
EU,31/08/2005,84.86
EU,30/09/2005,85.3
EU,31/10/2005,85.52
EU,30/11/2005,85.33
EU,31/12/2005,85.62
EU,31/01/2006,85.24
EU,28/02/2006,85.48
EU,31/03/2006,85.98
EU,30/04/2006,86.55
EU,31/05/2006,86.79
EU,30/06/2006,86.85
EU,31/07/2006,86.75
EU,31/08/2006,86.83
EU,30/09/2006,86.83
EU,31/10/2006,86.9
EU,30/11/2006,86.94
EU,31/12/2006,87.27
EU,31/01/2007,86.83
EU,28/02/2007,87.08
EU,31/03/2007,87.66
EU,30/04/2007,88.22
EU,31/05/2007,88.43
EU,30/06/2007,88.52
EU,31/07/2007,88.31
EU,31/08/2007,88.37
EU,30/09/2007,88.71
EU,31/10/2007,89.15
EU,30/11/2007,89.63
EU,31/12/2007,89.98
EU,31/01/2008,89.67
EU,29/02/2008,89.98
EU,31/03/2008,90.87
EU,30/04/2008,91.17
EU,31/05/2008,91.74
EU,30/06/2008,92.09
EU,31/07/2008,91.95
EU,31/08/2008,91.82
EU,30/09/2008,92
EU,31/10/2008,92.03
EU,30/11/2008,91.59
EU,31/12/2008,91.47
EU,31/01/2009,90.73
EU,28/02/2009,91.1
EU,31/03/2009,91.44
EU,30/04/2009,91.76
EU,31/05/2009,91.8
EU,30/06/2009,91.99
EU,31/07/2009,91.38
EU,31/08/2009,91.69
EU,30/09/2009,91.71
EU,31/10/2009,91.92
EU,30/11/2009,92.02
EU,31/12/2009,92.31
EU,31/01/2010,91.56
EU,28/02/2010,91.85
EU,31/03/2010,92.86
EU,30/04/2010,93.24
EU,31/05/2010,93.35
EU,30/06/2010,93.35
EU,31/07/2010,92.95
EU,31/08/2010,93.13
EU,30/09/2010,93.42
EU,31/10/2010,93.71
EU,30/11/2010,93.79
EU,31/12/2010,94.36
EU,31/01/2011,93.69
EU,28/02/2011,94.08
EU,31/03/2011,95.35
EU,30/04/2011,95.89
EU,31/05/2011,95.9
EU,30/06/2011,95.89
EU,31/07/2011,95.34
EU,31/08/2011,95.52
EU,30/09/2011,96.22
EU,31/10/2011,96.55
EU,30/11/2011,96.64
EU,31/12/2011,96.96
EU,31/01/2012,96.18
EU,29/02/2012,96.66
EU,31/03/2012,97.91
EU,30/04/2012,98.36
EU,31/05/2012,98.23
EU,30/06/2012,98.15
EU,31/07/2012,97.64
EU,31/08/2012,98.02
EU,30/09/2012,98.73
EU,31/10/2012,98.96
EU,30/11/2012,98.76
EU,31/12/2012,99.11
EU,31/01/2013,98.09
EU,28/02/2013,98.45
EU,31/03/2013,99.61
EU,30/04/2013,99.52
EU,31/05/2013,99.63
EU,30/06/2013,99.73
EU,31/07/2013,99.2
EU,31/08/2013,99.32
EU,30/09/2013,99.8
EU,31/10/2013,99.68
EU,30/11/2013,99.6
EU,31/12/2013,99.95
EU,31/01/2014,98.84
EU,28/02/2014,99.14
EU,31/03/2014,100.07
EU,30/04/2014,100.22
EU,31/05/2014,100.11
EU,30/06/2014,100.22
EU,31/07/2014,99.57
EU,31/08/2014,99.68
EU,30/09/2014,100.12
EU,31/10/2014,100.06
EU,30/11/2014,99.88
EU,31/12/2014,99.78
EU,31/01/2015,98.24
EU,28/02/2015,98.85
EU,31/03/2015,100
EU,30/04/2015,100.43
EU,31/05/2015,100.71
EU,30/06/2015,100.72
EU,31/07/2015,100.11
EU,31/08/2015,100.12
EU,30/09/2015,100.32
EU,31/10/2015,100.45
EU,30/11/2015,100.01
EU,31/12/2015,100.03
EU,31/01/2016,98.56
EU,29/02/2016,98.73
EU,31/03/2016,99.96
EU,30/04/2016,100.17
EU,31/05/2016,100.59
EU,30/06/2016,100.77
EU,31/07/2016,100.28
EU,31/08/2016,100.34
EU,30/09/2016,100.72
EU,31/10/2016,100.96
EU,30/11/2016,100.6
EU,31/12/2016,101.13
EU,31/01/2017,100.26
EU,28/02/2017,100.66
EU,31/03/2017,101.49
EU,30/04/2017,102.07
EU,31/05/2017,101.98
EU,30/06/2017,102.08
EU,31/07/2017,101.62
EU,31/08/2017,101.89
EU,30/09/2017,102.29
EU,31/10/2017,102.34
EU,30/11/2017,102.14
EU,31/12/2017,102.49
EU,31/01/2018,101.56
EU,28/02/2018,101.78
EU,31/03/2018,102.91
EU,30/04/2018,103.32
EU,31/05/2018,103.97
EU,30/06/2018,104.09
EU,31/07/2018,103.85
EU,31/08/2018,104.01
EU,30/09/2018,104.42
EU,31/10/2018,104.68
EU,30/11/2018,104.1
EU,31/12/2018,104.05
EU,31/01/2019,102.97
EU,28/02/2019,103.3
EU,31/03/2019,104.35
EU,30/04/2019,105.1
EU,31/05/2019,105.24
EU,30/06/2019,105.41
EU,31/07/2019,104.91
EU,31/08/2019,105.06
EU,30/09/2019,105.29
EU,31/10/2019,105.44
EU,30/11/2019,105.1
EU,31/12/2019,105.43
EU,31/01/2020,104.37
EU,29/02/2020,104.56
EU,31/03/2020,105.13
EU,30/04/2020,105.43
EU,31/05/2020,105.33
EU,30/06/2020,105.69
EU,31/07/2020,105.32
EU,31/08/2020,104.88
EU,30/09/2020,104.96
EU,31/10/2020,105.15
EU,30/11/2020,104.8
EU,31/12/2020,105.15
EU,31/01/2021,105.32
EU,28/02/2021,105.54
EU,31/03/2021,106.53
EU,30/04/2021,107.14
EU,31/05/2021,107.42
EU,30/06/2021,107.7
EU,31/07/2021,107.6
EU,31/08/2021,107.98
EU,30/09/2021,108.49
EU,31/10/2021,109.41
EU,30/11/2021,109.9
EU,31/12/2021,110.37
EU,31/01/2022,110.7
EU,28/02/2022,111.74
EU,31/03/2022,114.46
EU,30/04/2022,115.11
EU,31/05/2022,116.07
EU,30/06/2022,117.01
EU,31/07/2022,117.14
EU,31/08/2022,117.85
EU,30/09/2022,119.26
EU,31/10/2022,121.07
